Source	Target	Weight	Date	Class
2019gantipresiden	prabowobersamaulama	1	2018-12-31	Other 2
2019gantipresiden	prabowosandiaja	1	2019-01-05	True News
2019prabowosandi	auditforensikkpu	1	2018-10-20	False News
2019prabowosandi	nomor2	1	2018-11-17	False News
2019prabowosandi	skip	1	2018-12-25	False News
2019prabowosandi	prabowosandi	1	2018-12-24	False News
2019prabowosandi	adilmakmur	1	2018-11-26	Misleading News
2019prabowosandi	adilmakmur	1	2019-01-01	False News
2019prabowosandi	cbw	1	2018-11-26	Misleading News
2019prabowosandi	tahunbarupresidenbaru	1	2019-01-01	False News
2019prabowosandi	tahunbarupresidenbaru	2	2018-12-31	Other 2
2019prabowosandi	kamibersamahrs	1	2018-09-30	False News
rezimpanik	2019prabowopresiden	1	2019-02-05	False News
rezimpanik	adilmakmur	1	2019-02-05	False News
rezimpanik	prabowo	1	2019-02-05	False News
rezimpanik	prabowosandi	1	2019-02-05	False News
tolakangkanol	curangsejakawal	1	2018-09-25	False News
tolakangkanol	prabowosandi	1	2018-09-25	False News
tolakangkanol	hancurkanpki	1	2018-09-25	False News
curangsejakawal	prabowosandi	1	2018-09-25	False News
curangsejakawal	hancurkanpki	1	2018-09-25	False News
prabowosandi	hancurkanpki	1	2018-09-25	False News
prabowosandi	2019prabowosandimenang	1	2018-10-09	False News
prabowosandi	prabowopresiden	1	2018-10-09	False News
prabowosandi	prabowosandimenang	1	2018-10-09	False News
prabowosandi	adilmakmur	1	2018-10-09	False News
prabowosandi	adilmakmur	2	2019-02-05	False News
prabowosandi	adilmakmur	1	2018-11-27	True News
prabowosandi	adilmakmur2	1	2018-10-09	False News
prabowosandi	2019prabowopresiden	1	2019-02-05	False News
prabowosandi	2019prabowopresiden	1	2018-11-27	True News
prabowosandi	prabowo	1	2019-02-05	False News
prabowosandi	indonesiamenang	1	2019-01-16	False News
prabowosandi	ktpprabowo	1	2018-11-26	Other 2
prabowosandi	galangperjuanganps	1	2018-11-27	True News
prabowosandi	bni8495002001000002	1	2018-11-27	True News
prabowosandi	ottohasibuan	1	2019-05-24	Misleading News
prabowosandi	sengketapemilu	1	2019-05-24	Misleading News
prabowosandi	prabowobersamaulama	1	2018-12-31	Other 2
indonesiacallscartercenter	indonesiacallsobservers	1	2019-03-26	Misleading News
