Source	Target	Weight	Date	Class
mjamesf	ayojagatps	3	2019-04-23	True News
kumparan	kumparannews	2	2019-04-23	True News
kumparan	jokowi	1	2019-04-13	True News
yarham02	kpu_id	1	2019-04-24	Misleading News
yarham02	rudiantara_id	1	2019-02-01	Misleading News
laskapalembang	politiklipi	1	2019-03-25	False News
laskapalembang	lipiindonesia	1	2019-03-25	False News
izammaulana9	po_st	1	2019-03-26	True News
qonaah_himmah	prabowo	1	2019-02-18	False News
rfauzy5	divhumas_polri	1	2019-05-12	False News
rfauzy5	puspen_tni	1	2019-05-12	False News
rfauzy5	ryamizard_r	1	2019-05-12	False News
silumanri	garuda501	1	2019-05-12	False News
silumanri	ireneviena	1	2019-05-12	False News
silumanri	tikusmerah1	1	2019-05-12	False News
silumanri	cakkhum	1	2019-05-12	False News
silumanri	opposite_6890	1	2019-05-12	False News
silumanri	resticayah	1	2019-05-12	False News
silumanri	do_ra_dong	1	2019-05-12	False News
silumanri	annasuezann	1	2019-05-12	False News
rajawalinkri	vievio2	1	2019-05-12	True News
rajawalinkri	annasuezann	1	2019-05-12	True News
rajawalinkri	zaittoonedd	1	2019-05-12	True News
danielht2009	divhumas_polri	1	2019-05-12	Misleading News
danielht2009	ccicpolri	1	2019-05-12	Misleading News
kangdede78	sandiuno	1	2019-03-19	Misleading News
kangdede78	bpjskesehatanri	1	2019-03-19	Misleading News
kangdede78	karniilyas	1	2018-12-05	True News
03__nakula	jokowi	1	2019-03-09	Misleading News
pointer_id	ronavioleta	1	2019-03-11	True News
pointer_id	mbahuyok	1	2019-03-11	True News
pointer_id	ferdinand_haean	1	2019-03-11	True News
ronavioleta	prabowo	1	2018-12-31	Other 2
ronavioleta	prabowo	1	2018-12-31	Other 1
ronavioleta	kpu_id	1	2018-12-31	Other 1
ronavioleta	jokowi	1	2018-12-31	Other 1
ronavioleta	marufaminnu	1	2018-12-31	Other 1
ronavioleta	sandiuno	1	2018-12-31	Other 1
justmeinmyside	jokowi	1	2019-03-09	Other 1
srufamin	jokowi	1	2019-01-19	Other 1
srufamin	kornhurry	1	2019-01-19	Other 1
srufamin	fagtng	1	2019-01-19	Other 1
srufamin	andreopa	1	2019-01-19	Other 1
srufamin	karolina_bee11	1	2019-01-19	Other 1
srufamin	rizmawidiono	1	2019-01-19	Other 1
sibonekaayu	jokowi	1	2019-01-17	False News
yusuf_dumdum	jokowi	1	2019-01-19	Other 2
basmicovid	jokowi	1	2019-01-20	Other 1
basmicovid	kornasbrigade01	1	2019-01-20	Other 1
basmicovid	mabesbrigade01	1	2019-01-20	Other 1
basmicovid	brigade01_2019	1	2019-01-20	Other 1
basmicovid	wawanpurwandl	1	2019-01-20	Other 1
basmicovid	ahmadyanibs	1	2019-01-20	Other 1
brigade01_2019	jokowi	1	2019-01-20	Other 2
brigade01_2019	kornasbrigade01	1	2019-01-20	Other 2
brigade01_2019	brigade01banten	1	2019-01-20	Other 2
brigade01_2019	join_sulbar	1	2019-01-20	Other 2
brigade01_2019	joinlampung	1	2019-01-20	Other 2
brigade01_2019	join_jabar	1	2019-01-20	Other 2
brigade01_2019	ahmadyanibs	1	2019-01-20	Other 2
0m_brewoks	jokowi	2	2019-01-18	False News
0m_brewoks	khmarufamin_	1	2019-01-04	False News
napipks	albertpanjaitn	1	2019-01-19	Other 1
amsyah111204	jokowi	1	2019-01-20	Other 1
amsyah111204	kornasbrigade01	1	2019-01-20	Other 1
amsyah111204	joinkalsel	1	2019-01-20	Other 1
amsyah111204	join_sulbar	1	2019-01-20	Other 1
amsyah111204	joinlampung	1	2019-01-20	Other 1
amsyah111204	join_jabar	1	2019-01-20	Other 1
amsyah111204	ahmadyanibs	1	2019-01-20	Other 1
karsady	ccicpolri	1	2019-01-17	True News
karsady	divhumas_polri	1	2019-01-17	True News
wahyudifebri31	jokowi	1	2019-01-16	True News
bangrw_	jokowi	1	2019-01-17	False News
hertatisally	andiarief__	1	2019-02-22	Other 2
hertatisally	ustd_wijayanto	1	2019-02-22	Other 2
hertatisally	marierteman	1	2019-02-22	Other 2
hertatisally	bang_dw	1	2019-02-22	Other 2
hertatisally	subkialbughury_	1	2019-02-22	Other 2
hertatisally	titieksoeharto	1	2019-02-22	Other 2
danke245	jokowi	1	2019-02-19	True News
officialinewstv	prabowo	3	2019-02-17	True News
officialinewstv	jokowi	1	2019-02-17	True News
ellazefa	prabowo	1	2019-02-17	False News
profylh	profylh	1	2019-02-17	False News
profylh	prabowo	1	2019-02-17	False News
profylh	prabowo	3	2019-02-17	Misleading News
profylh	prabowo	1	2018-11-24	Other 2
profylh	jokowi	3	2019-02-17	Misleading News
profylh	faldomaldini	1	2018-11-24	Other 2
profylh	dahnilanzar	1	2018-11-24	Other 2
katamereka7	prabowo	1	2019-02-17	False News
katamereka7	yovita_gurning	1	2019-02-17	False News
katamereka7	joksusi2019	2	2019-02-17	False News
katamereka7	8175rathu	1	2019-02-17	False News
katamereka7	caknur14	1	2019-02-17	False News
caknur14	rcyberprojo	1	2019-01-23	False News
caknur14	rcproj24	1	2019-01-23	False News
caknur14	projopusat	1	2019-01-23	False News
caknur14	mardanialisera	1	2019-01-23	False News
caknur14	pksejahtera	1	2019-01-23	False News
caknur14	pandji	1	2019-01-23	False News
caknur14	kangdede78	1	2019-01-23	False News
caknur14	ulinyusron	1	2019-01-23	False News
caknur14	ulil	1	2019-01-23	False News
caknur14	paula_oetomo	1	2019-01-23	False News
caknur14	addiems	1	2019-01-23	False News
caknur14	paltiwest	1	2019-01-23	False News
caknur14	dr_moeldoko	1	2019-01-23	False News
caknur14	andreopa	1	2019-01-23	False News
caknur14	temanjokowi2019	1	2019-01-23	False News
caknur14	viddysupit	1	2019-01-23	False News
caknur14	tolakbigotri	1	2019-01-23	False News
caknur14	ezkisuyanto	1	2019-01-23	False News
katakitatweet	prabowo	1	2019-02-17	False News
katakitatweet	prabowo	1	2019-03-22	True News
katakitatweet	prabowo	1	2019-04-04	Other 2
katakitatweet	jokowi	1	2019-04-15	False News
katakitatweet	jokowi	1	2019-04-04	Other 2
katakitatweet	habibthink	1	2019-04-15	False News
katakitatweet	p3nj3l4j4h	1	2019-04-15	False News
katakitatweet	detikcom	1	2019-04-15	False News
katakitatweet	eko_kuntadhi	1	2019-04-15	False News
katakitatweet	dennysiregar7	1	2019-04-15	False News
katakitatweet	narkosun	1	2019-04-15	False News
katakitatweet	kaesangp	1	2019-04-15	False News
katakitatweet	yusuf_dumdum	1	2019-04-15	False News
katakitatweet	sandiuno	1	2019-03-22	True News
benzlife888	enylove2	1	2019-02-17	False News
benzlife888	widayatiningsi1	1	2019-02-17	False News
benzlife888	pandhitadhyasa1	1	2019-02-17	False News
benzlife888	p3nj3l4j4h	1	2019-02-17	False News
